factor	model_variant	term	gene_id	coefficient	source_weight	selected_nonzero	feature_count	training_n	lambda_1se	alpha	preprocessing	model_role	rna_squared_weight_mass_fraction	orientation_rule	external_outcomes_seen_during_definition
Factor1	mofa51_fixed_weight_sensitivity	ENSG00000136694	ENSG00000136694	0.00751100474181638	0.0852864012122154	TRUE	51	78			ECMS matrix already cohort-wise gene Z; external GSE53622/24 separately re-Z; remove MOFA _RNA suffix then Ensembl version	transparent_sensitivity_not_primary	0.0427614302806563	retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	mofa51_fixed_weight_sensitivity	ENSG00000140279	ENSG00000140279	0.000560496806550965	0.00636436231434345	TRUE	51	78			ECMS matrix already cohort-wise gene Z; external GSE53622/24 separately re-Z; remove MOFA _RNA suffix then Ensembl version	transparent_sensitivity_not_primary	0.0427614302806563	retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	mofa51_fixed_weight_sensitivity	ENSG00000143297	ENSG00000143297	-0.0134368514101862	-0.152573555707932	TRUE	51	78			ECMS matrix already cohort-wise gene Z; external GSE53622/24 separately re-Z; remove MOFA _RNA suffix then Ensembl version	transparent_sensitivity_not_primary	0.0427614302806563	retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	mofa51_fixed_weight_sensitivity	ENSG00000143502	ENSG00000143502	0.0426062827575099	0.483788341283798	TRUE	51	78			ECMS matrix already cohort-wise gene Z; external GSE53622/24 separately re-Z; remove MOFA _RNA suffix then Ensembl version	transparent_sensitivity_not_primary	0.0427614302806563	retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	mofa51_fixed_weight_sensitivity	ENSG00000143546	ENSG00000143546	-0.0136206110556152	-0.154660120606422	TRUE	51	78			ECMS matrix already cohort-wise gene Z; external GSE53622/24 separately re-Z; remove MOFA _RNA suffix then Ensembl version	transparent_sensitivity_not_primary	0.0427614302806563	retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	mofa51_fixed_weight_sensitivity	ENSG00000145113	ENSG00000145113	0.0263662644182312	0.299385219812393	TRUE	51	78			ECMS matrix already cohort-wise gene Z; external GSE53622/24 separately re-Z; remove MOFA _RNA suffix then Ensembl version	transparent_sensitivity_not_primary	0.0427614302806563	retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	mofa51_fixed_weight_sensitivity	ENSG00000145649	ENSG00000145649	-0.0239413226523456	-0.271850347518921	TRUE	51	78			ECMS matrix already cohort-wise gene Z; external GSE53622/24 separately re-Z; remove MOFA _RNA suffix then Ensembl version	transparent_sensitivity_not_primary	0.0427614302806563	retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	mofa51_fixed_weight_sensitivity	ENSG00000147138	ENSG00000147138	-0.0304381546473098	-0.345620959997177	TRUE	51	78			ECMS matrix already cohort-wise gene Z; external GSE53622/24 separately re-Z; remove MOFA _RNA suffix then Ensembl version	transparent_sensitivity_not_primary	0.0427614302806563	retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	mofa51_fixed_weight_sensitivity	ENSG00000147689	ENSG00000147689	-0.0168889191360914	-0.191771298646927	TRUE	51	78			ECMS matrix already cohort-wise gene Z; external GSE53622/24 separately re-Z; remove MOFA _RNA suffix then Ensembl version	transparent_sensitivity_not_primary	0.0427614302806563	retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	mofa51_fixed_weight_sensitivity	ENSG00000147697	ENSG00000147697	-0.0106004107138211	-0.120366171002388	TRUE	51	78			ECMS matrix already cohort-wise gene Z; external GSE53622/24 separately re-Z; remove MOFA _RNA suffix then Ensembl version	transparent_sensitivity_not_primary	0.0427614302806563	retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	mofa51_fixed_weight_sensitivity	ENSG00000153294	ENSG00000153294	-0.0125049182141344	-0.141991585493088	TRUE	51	78			ECMS matrix already cohort-wise gene Z; external GSE53622/24 separately re-Z; remove MOFA _RNA suffix then Ensembl version	transparent_sensitivity_not_primary	0.0427614302806563	retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	mofa51_fixed_weight_sensitivity	ENSG00000156738	ENSG00000156738	-0.0174301680426697	-0.197917103767395	TRUE	51	78			ECMS matrix already cohort-wise gene Z; external GSE53622/24 separately re-Z; remove MOFA _RNA suffix then Ensembl version	transparent_sensitivity_not_primary	0.0427614302806563	retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	mofa51_fixed_weight_sensitivity	ENSG00000162366	ENSG00000162366	-0.0169593629362655	-0.192571178078651	TRUE	51	78			ECMS matrix already cohort-wise gene Z; external GSE53622/24 separately re-Z; remove MOFA _RNA suffix then Ensembl version	transparent_sensitivity_not_primary	0.0427614302806563	retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	mofa51_fixed_weight_sensitivity	ENSG00000162409	ENSG00000162409	0.0308330147256793	0.350104540586472	TRUE	51	78			ECMS matrix already cohort-wise gene Z; external GSE53622/24 separately re-Z; remove MOFA _RNA suffix then Ensembl version	transparent_sensitivity_not_primary	0.0427614302806563	retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	mofa51_fixed_weight_sensitivity	ENSG00000163209	ENSG00000163209	0.0152946181584213	0.17366823554039	TRUE	51	78			ECMS matrix already cohort-wise gene Z; external GSE53622/24 separately re-Z; remove MOFA _RNA suffix then Ensembl version	transparent_sensitivity_not_primary	0.0427614302806563	retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	mofa51_fixed_weight_sensitivity	ENSG00000163220	ENSG00000163220	-0.0159043765116751	-0.180591955780983	TRUE	51	78			ECMS matrix already cohort-wise gene Z; external GSE53622/24 separately re-Z; remove MOFA _RNA suffix then Ensembl version	transparent_sensitivity_not_primary	0.0427614302806563	retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	mofa51_fixed_weight_sensitivity	ENSG00000163534	ENSG00000163534	-0.020433077311398	-0.232014715671539	TRUE	51	78			ECMS matrix already cohort-wise gene Z; external GSE53622/24 separately re-Z; remove MOFA _RNA suffix then Ensembl version	transparent_sensitivity_not_primary	0.0427614302806563	retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	mofa51_fixed_weight_sensitivity	ENSG00000164520	ENSG00000164520	-0.0280619102963698	-0.318639039993286	TRUE	51	78			ECMS matrix already cohort-wise gene Z; external GSE53622/24 separately re-Z; remove MOFA _RNA suffix then Ensembl version	transparent_sensitivity_not_primary	0.0427614302806563	retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	mofa51_fixed_weight_sensitivity	ENSG00000165272	ENSG00000165272	-0.0315416705104226	-0.358151227235794	TRUE	51	78			ECMS matrix already cohort-wise gene Z; external GSE53622/24 separately re-Z; remove MOFA _RNA suffix then Ensembl version	transparent_sensitivity_not_primary	0.0427614302806563	retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	mofa51_fixed_weight_sensitivity	ENSG00000170476	ENSG00000170476	-0.0143834930417965	-0.163322538137436	TRUE	51	78			ECMS matrix already cohort-wise gene Z; external GSE53622/24 separately re-Z; remove MOFA _RNA suffix then Ensembl version	transparent_sensitivity_not_primary	0.0427614302806563	retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	mofa51_fixed_weight_sensitivity	ENSG00000171236	ENSG00000171236	-0.0196709984624902	-0.223361417651176	TRUE	51	78			ECMS matrix already cohort-wise gene Z; external GSE53622/24 separately re-Z; remove MOFA _RNA suffix then Ensembl version	transparent_sensitivity_not_primary	0.0427614302806563	retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	mofa51_fixed_weight_sensitivity	ENSG00000171401	ENSG00000171401	0.0176718086890578	0.200660899281502	TRUE	51	78			ECMS matrix already cohort-wise gene Z; external GSE53622/24 separately re-Z; remove MOFA _RNA suffix then Ensembl version	transparent_sensitivity_not_primary	0.0427614302806563	retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	mofa51_fixed_weight_sensitivity	ENSG00000172724	ENSG00000172724	-0.0110639665877106	-0.125629782676697	TRUE	51	78			ECMS matrix already cohort-wise gene Z; external GSE53622/24 separately re-Z; remove MOFA _RNA suffix then Ensembl version	transparent_sensitivity_not_primary	0.0427614302806563	retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	mofa51_fixed_weight_sensitivity	ENSG00000177455	ENSG00000177455	-0.0197898168479215	-0.224710583686829	TRUE	51	78			ECMS matrix already cohort-wise gene Z; external GSE53622/24 separately re-Z; remove MOFA _RNA suffix then Ensembl version	transparent_sensitivity_not_primary	0.0427614302806563	retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	mofa51_fixed_weight_sensitivity	ENSG00000177570	ENSG00000177570	0.0562459971943195	0.63866537809372	TRUE	51	78			ECMS matrix already cohort-wise gene Z; external GSE53622/24 separately re-Z; remove MOFA _RNA suffix then Ensembl version	transparent_sensitivity_not_primary	0.0427614302806563	retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	mofa51_fixed_weight_sensitivity	ENSG00000183844	ENSG00000183844	0.0199041392393999	0.226008698344231	TRUE	51	78			ECMS matrix already cohort-wise gene Z; external GSE53622/24 separately re-Z; remove MOFA _RNA suffix then Ensembl version	transparent_sensitivity_not_primary	0.0427614302806563	retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	mofa51_fixed_weight_sensitivity	ENSG00000184012	ENSG00000184012	0.0154912371864376	0.175900816917419	TRUE	51	78			ECMS matrix already cohort-wise gene Z; external GSE53622/24 separately re-Z; remove MOFA _RNA suffix then Ensembl version	transparent_sensitivity_not_primary	0.0427614302806563	retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	mofa51_fixed_weight_sensitivity	ENSG00000184828	ENSG00000184828	0.0464482736297208	0.527413606643677	TRUE	51	78			ECMS matrix already cohort-wise gene Z; external GSE53622/24 separately re-Z; remove MOFA _RNA suffix then Ensembl version	transparent_sensitivity_not_primary	0.0427614302806563	retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	mofa51_fixed_weight_sensitivity	ENSG00000185873	ENSG00000185873	0.00861281459438075	0.0977972969412804	TRUE	51	78			ECMS matrix already cohort-wise gene Z; external GSE53622/24 separately re-Z; remove MOFA _RNA suffix then Ensembl version	transparent_sensitivity_not_primary	0.0427614302806563	retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	mofa51_fixed_weight_sensitivity	ENSG00000186847	ENSG00000186847	-0.0162286812430269	-0.184274390339851	TRUE	51	78			ECMS matrix already cohort-wise gene Z; external GSE53622/24 separately re-Z; remove MOFA _RNA suffix then Ensembl version	transparent_sensitivity_not_primary	0.0427614302806563	retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	mofa51_fixed_weight_sensitivity	ENSG00000189334	ENSG00000189334	-0.0150372389085665	-0.170745730400085	TRUE	51	78			ECMS matrix already cohort-wise gene Z; external GSE53622/24 separately re-Z; remove MOFA _RNA suffix then Ensembl version	transparent_sensitivity_not_primary	0.0427614302806563	retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	mofa51_fixed_weight_sensitivity	ENSG00000189377	ENSG00000189377	0.0143425120437929	0.162857204675674	TRUE	51	78			ECMS matrix already cohort-wise gene Z; external GSE53622/24 separately re-Z; remove MOFA _RNA suffix then Ensembl version	transparent_sensitivity_not_primary	0.0427614302806563	retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	mofa51_fixed_weight_sensitivity	ENSG00000196344	ENSG00000196344	0.0548558348142367	0.622880280017853	TRUE	51	78			ECMS matrix already cohort-wise gene Z; external GSE53622/24 separately re-Z; remove MOFA _RNA suffix then Ensembl version	transparent_sensitivity_not_primary	0.0427614302806563	retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	mofa51_fixed_weight_sensitivity	ENSG00000198910	ENSG00000198910	-0.0184732990062648	-0.209761708974838	TRUE	51	78			ECMS matrix already cohort-wise gene Z; external GSE53622/24 separately re-Z; remove MOFA _RNA suffix then Ensembl version	transparent_sensitivity_not_primary	0.0427614302806563	retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	mofa51_fixed_weight_sensitivity	ENSG00000214711	ENSG00000214711	-0.000709553982893043	-0.00805688556283712	TRUE	51	78			ECMS matrix already cohort-wise gene Z; external GSE53622/24 separately re-Z; remove MOFA _RNA suffix then Ensembl version	transparent_sensitivity_not_primary	0.0427614302806563	retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	mofa51_fixed_weight_sensitivity	ENSG00000269404	ENSG00000269404	-0.0183104143683689	-0.207912176847458	TRUE	51	78			ECMS matrix already cohort-wise gene Z; external GSE53622/24 separately re-Z; remove MOFA _RNA suffix then Ensembl version	transparent_sensitivity_not_primary	0.0427614302806563	retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	ridge314_primary	ENSG00000005844	ENSG00000005844	-0.00277597532525008		TRUE	314	78	11.1082939139781	0	locked repository tcga.val.df; repeated nested CV; glmnet standardize=TRUE; external GSE53622/24 separately gene-wise re-Z	primary_RNA_proxy_not_full_MOFA_reproduction		retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	ridge314_primary	ENSG00000005884	ENSG00000005884	-0.00643740246434354		TRUE	314	78	11.1082939139781	0	locked repository tcga.val.df; repeated nested CV; glmnet standardize=TRUE; external GSE53622/24 separately gene-wise re-Z	primary_RNA_proxy_not_full_MOFA_reproduction		retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	ridge314_primary	ENSG00000006327	ENSG00000006327	-0.0128364984073295		TRUE	314	78	11.1082939139781	0	locked repository tcga.val.df; repeated nested CV; glmnet standardize=TRUE; external GSE53622/24 separately gene-wise re-Z	primary_RNA_proxy_not_full_MOFA_reproduction		retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	ridge314_primary	ENSG00000007312	ENSG00000007312	-0.00256324243898222		TRUE	314	78	11.1082939139781	0	locked repository tcga.val.df; repeated nested CV; glmnet standardize=TRUE; external GSE53622/24 separately gene-wise re-Z	primary_RNA_proxy_not_full_MOFA_reproduction		retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	ridge314_primary	ENSG00000009790	ENSG00000009790	-0.0129799931729151		TRUE	314	78	11.1082939139781	0	locked repository tcga.val.df; repeated nested CV; glmnet standardize=TRUE; external GSE53622/24 separately gene-wise re-Z	primary_RNA_proxy_not_full_MOFA_reproduction		retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	ridge314_primary	ENSG00000010671	ENSG00000010671	-0.00397597176471351		TRUE	314	78	11.1082939139781	0	locked repository tcga.val.df; repeated nested CV; glmnet standardize=TRUE; external GSE53622/24 separately gene-wise re-Z	primary_RNA_proxy_not_full_MOFA_reproduction		retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	ridge314_primary	ENSG00000011009	ENSG00000011009	-0.0179796927132079		TRUE	314	78	11.1082939139781	0	locked repository tcga.val.df; repeated nested CV; glmnet standardize=TRUE; external GSE53622/24 separately gene-wise re-Z	primary_RNA_proxy_not_full_MOFA_reproduction		retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	ridge314_primary	ENSG00000012124	ENSG00000012124	-0.00235267497545926		TRUE	314	78	11.1082939139781	0	locked repository tcga.val.df; repeated nested CV; glmnet standardize=TRUE; external GSE53622/24 separately gene-wise re-Z	primary_RNA_proxy_not_full_MOFA_reproduction		retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	ridge314_primary	ENSG00000013725	ENSG00000013725	0.00308842181004381		TRUE	314	78	11.1082939139781	0	locked repository tcga.val.df; repeated nested CV; glmnet standardize=TRUE; external GSE53622/24 separately gene-wise re-Z	primary_RNA_proxy_not_full_MOFA_reproduction		retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	ridge314_primary	ENSG00000016602	ENSG00000016602	-0.005001916478589		TRUE	314	78	11.1082939139781	0	locked repository tcga.val.df; repeated nested CV; glmnet standardize=TRUE; external GSE53622/24 separately gene-wise re-Z	primary_RNA_proxy_not_full_MOFA_reproduction		retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	ridge314_primary	ENSG00000026025	ENSG00000026025	-0.00701580231083549		TRUE	314	78	11.1082939139781	0	locked repository tcga.val.df; repeated nested CV; glmnet standardize=TRUE; external GSE53622/24 separately gene-wise re-Z	primary_RNA_proxy_not_full_MOFA_reproduction		retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	ridge314_primary	ENSG00000026751	ENSG00000026751	-0.0127034043050624		TRUE	314	78	11.1082939139781	0	locked repository tcga.val.df; repeated nested CV; glmnet standardize=TRUE; external GSE53622/24 separately gene-wise re-Z	primary_RNA_proxy_not_full_MOFA_reproduction		retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	ridge314_primary	ENSG00000030582	ENSG00000030582	-0.00825616925124229		TRUE	314	78	11.1082939139781	0	locked repository tcga.val.df; repeated nested CV; glmnet standardize=TRUE; external GSE53622/24 separately gene-wise re-Z	primary_RNA_proxy_not_full_MOFA_reproduction		retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	ridge314_primary	ENSG00000035403	ENSG00000035403	-0.00210135790531805		TRUE	314	78	11.1082939139781	0	locked repository tcga.val.df; repeated nested CV; glmnet standardize=TRUE; external GSE53622/24 separately gene-wise re-Z	primary_RNA_proxy_not_full_MOFA_reproduction		retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	ridge314_primary	ENSG00000035862	ENSG00000035862	0.00306759206805218		TRUE	314	78	11.1082939139781	0	locked repository tcga.val.df; repeated nested CV; glmnet standardize=TRUE; external GSE53622/24 separately gene-wise re-Z	primary_RNA_proxy_not_full_MOFA_reproduction		retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	ridge314_primary	ENSG00000039560	ENSG00000039560	0.0118388354221271		TRUE	314	78	11.1082939139781	0	locked repository tcga.val.df; repeated nested CV; glmnet standardize=TRUE; external GSE53622/24 separately gene-wise re-Z	primary_RNA_proxy_not_full_MOFA_reproduction		retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	ridge314_primary	ENSG00000042980	ENSG00000042980	-0.00226493125524855		TRUE	314	78	11.1082939139781	0	locked repository tcga.val.df; repeated nested CV; glmnet standardize=TRUE; external GSE53622/24 separately gene-wise re-Z	primary_RNA_proxy_not_full_MOFA_reproduction		retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	ridge314_primary	ENSG00000047457	ENSG00000047457	0.00107956341093011		TRUE	314	78	11.1082939139781	0	locked repository tcga.val.df; repeated nested CV; glmnet standardize=TRUE; external GSE53622/24 separately gene-wise re-Z	primary_RNA_proxy_not_full_MOFA_reproduction		retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	ridge314_primary	ENSG00000048462	ENSG00000048462	-0.00932898471763755		TRUE	314	78	11.1082939139781	0	locked repository tcga.val.df; repeated nested CV; glmnet standardize=TRUE; external GSE53622/24 separately gene-wise re-Z	primary_RNA_proxy_not_full_MOFA_reproduction		retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	ridge314_primary	ENSG00000057019	ENSG00000057019	-0.00162954421497438		TRUE	314	78	11.1082939139781	0	locked repository tcga.val.df; repeated nested CV; glmnet standardize=TRUE; external GSE53622/24 separately gene-wise re-Z	primary_RNA_proxy_not_full_MOFA_reproduction		retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	ridge314_primary	ENSG00000060558	ENSG00000060558	-0.00801488607987073		TRUE	314	78	11.1082939139781	0	locked repository tcga.val.df; repeated nested CV; glmnet standardize=TRUE; external GSE53622/24 separately gene-wise re-Z	primary_RNA_proxy_not_full_MOFA_reproduction		retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	ridge314_primary	ENSG00000062038	ENSG00000062038	-0.0169253518575669		TRUE	314	78	11.1082939139781	0	locked repository tcga.val.df; repeated nested CV; glmnet standardize=TRUE; external GSE53622/24 separately gene-wise re-Z	primary_RNA_proxy_not_full_MOFA_reproduction		retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	ridge314_primary	ENSG00000070018	ENSG00000070018	0.00163394060158326		TRUE	314	78	11.1082939139781	0	locked repository tcga.val.df; repeated nested CV; glmnet standardize=TRUE; external GSE53622/24 separately gene-wise re-Z	primary_RNA_proxy_not_full_MOFA_reproduction		retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	ridge314_primary	ENSG00000070404	ENSG00000070404	-0.0111681036944663		TRUE	314	78	11.1082939139781	0	locked repository tcga.val.df; repeated nested CV; glmnet standardize=TRUE; external GSE53622/24 separately gene-wise re-Z	primary_RNA_proxy_not_full_MOFA_reproduction		retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	ridge314_primary	ENSG00000072110	ENSG00000072110	-0.00756294105345187		TRUE	314	78	11.1082939139781	0	locked repository tcga.val.df; repeated nested CV; glmnet standardize=TRUE; external GSE53622/24 separately gene-wise re-Z	primary_RNA_proxy_not_full_MOFA_reproduction		retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	ridge314_primary	ENSG00000072682	ENSG00000072682	-0.00597633571296659		TRUE	314	78	11.1082939139781	0	locked repository tcga.val.df; repeated nested CV; glmnet standardize=TRUE; external GSE53622/24 separately gene-wise re-Z	primary_RNA_proxy_not_full_MOFA_reproduction		retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	ridge314_primary	ENSG00000072858	ENSG00000072858	-0.0120567509278568		TRUE	314	78	11.1082939139781	0	locked repository tcga.val.df; repeated nested CV; glmnet standardize=TRUE; external GSE53622/24 separately gene-wise re-Z	primary_RNA_proxy_not_full_MOFA_reproduction		retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	ridge314_primary	ENSG00000073792	ENSG00000073792	0.00451841911123332		TRUE	314	78	11.1082939139781	0	locked repository tcga.val.df; repeated nested CV; glmnet standardize=TRUE; external GSE53622/24 separately gene-wise re-Z	primary_RNA_proxy_not_full_MOFA_reproduction		retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	ridge314_primary	ENSG00000073849	ENSG00000073849	0.000547338110463223		TRUE	314	78	11.1082939139781	0	locked repository tcga.val.df; repeated nested CV; glmnet standardize=TRUE; external GSE53622/24 separately gene-wise re-Z	primary_RNA_proxy_not_full_MOFA_reproduction		retain original MOFA factor orientation; never flip after external outcome	FALSE
