feature_id	effect	p	study_id	analysis_id	platform	ion_mode	evidence_family	acquisition_source	perfect_group_block	rank_group_correlation	interpretation	q_evidence_family	direction
AN004963__28	-0.331986995613621	1.08133801540714e-06	ST003027	AN004963	targeted LC-MS	negative	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	4.06768723830339e-05	lower_in_early_ESCC
AN004963__39	-0.660226987721658	1.14047305746824e-06	ST003027	AN004963	targeted LC-MS	negative	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	4.06768723830339e-05	lower_in_early_ESCC
AN004962__174	1.26124851887333	2.0332017458568e-06	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	6.52657760420032e-05	higher_in_early_ESCC
AN004963__207	-0.542464612762877	2.64810606829819e-06	ST003027	AN004963	targeted LC-MS	negative	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	7.72765498112472e-05	lower_in_early_ESCC
AN004962__110	0.43965377387873	3.68269924459072e-06	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	9.85122047928018e-05	higher_in_early_ESCC
AN004962__17	0.358086859150456	6.34860248518662e-06	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.000149219372497415	higher_in_early_ESCC
AN004962__82	0.48278490841266	6.5080100154636e-06	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.000149219372497415	higher_in_early_ESCC
AN004963__148	0.072253550302004	8.17145898795619e-06	ST003027	AN004963	targeted LC-MS	negative	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.000174869222342262	higher_in_early_ESCC
AN004962__251	0.388594727990304	9.58618975703965e-06	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.000192322932000608	higher_in_early_ESCC
AN004963__27	-0.0954612213394122	1.34355905268283e-05	ST003027	AN004963	targeted LC-MS	negative	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.0002536955623007	lower_in_early_ESCC
AN004962__21	-1.01264048350751	1.52066416968498e-05	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.000271185110260487	lower_in_early_ESCC
AN004962__95	0.0300927101708591	1.70758994718818e-05	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.000274068186523703	higher_in_early_ESCC
AN004962__228	0.107731801549375	1.65218704649469e-05	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.000274068186523703	higher_in_early_ESCC
AN004962__31	0.744589197017187	1.96671699405843e-05	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.000300626740520359	higher_in_early_ESCC
AN004962__29	0.63951107474384	3.6564985493779e-05	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.000533516379250139	higher_in_early_ESCC
AN004963__168	0.711584546716578	3.84739352417587e-05	ST003027	AN004963	targeted LC-MS	negative	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.000536962313591502	higher_in_early_ESCC
AN004962__52	0.211287407524401	5.47864559631641e-05	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.000704068823883358	higher_in_early_ESCC
AN004962__107	0.310412208571484	5.48340205516634e-05	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.000704068823883358	higher_in_early_ESCC
AN004963__222	0.10674572231679	7.55935727019424e-05	ST003027	AN004963	targeted LC-MS	negative	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.000933289878358596	higher_in_early_ESCC
AN004962__112	0.0159839956608174	9.43454551410227e-05	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.0010544901958701	higher_in_early_ESCC
AN004963__92	-0.784535065533579	9.85504855953366e-05	ST003027	AN004963	targeted LC-MS	negative	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.0010544901958701	lower_in_early_ESCC
AN004963__173	0.595578320848807	9.18199011788738e-05	ST003027	AN004963	targeted LC-MS	negative	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.0010544901958701	higher_in_early_ESCC
AN004963__199	-0.265321853735839	9.64345508760185e-05	ST003027	AN004963	targeted LC-MS	negative	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.0010544901958701	lower_in_early_ESCC
AN004962__258	0.0335359072224334	0.000122319410050218	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.00126659776213291	higher_in_early_ESCC
AN004962__54	0.569098899185952	0.000137984985511231	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.00138416188590954	higher_in_early_ESCC
AN004962__8	0.273437471231578	0.000151018688794813	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.00142579409126867	higher_in_early_ESCC
AN004962__260	0.47103023091207	0.000150229985917668	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.00142579409126867	higher_in_early_ESCC
AN004962__253	1.05027342980151	0.000159382878353208	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.00146176868432514	higher_in_early_ESCC
AN004962__183	0.420781759134388	0.000169839880137442	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.00151219934507556	higher_in_early_ESCC
AN004962__255	0.0721971929585607	0.000174303351301544	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.00151219934507556	higher_in_early_ESCC
AN004962__184	1.28023145779686	0.000189298188148576	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.00159907153672876	higher_in_early_ESCC
AN004962__98	0.576164387816143	0.000277390209390463	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.00228313480036766	higher_in_early_ESCC
AN004963__32	0.339421257316672	0.000325702316039772	ST003027	AN004963	targeted LC-MS	negative	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.00261376108621917	higher_in_early_ESCC
AN004962__75	0.371222154515534	0.000350090239249474	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.00274095040973369	higher_in_early_ESCC
AN004963__69	0.0815044895626146	0.000387152588129709	ST003027	AN004963	targeted LC-MS	negative	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.00295895192356278	higher_in_early_ESCC
AN004962__88	0.47436717495253	0.000408563177834525	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.00297145481808819	higher_in_early_ESCC
AN004962__252	0.111961329294226	0.000404541227395634	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.00297145481808819	higher_in_early_ESCC
AN004963__95	-1.24372808721922	0.000416559086647876	ST003027	AN004963	targeted LC-MS	negative	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.00297145481808819	lower_in_early_ESCC
AN004962__66	0.349510452007505	0.000464961159275679	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.00317558578994666	higher_in_early_ESCC
AN004963__211	-0.980822779389676	0.000458112681456537	ST003027	AN004963	targeted LC-MS	negative	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.00317558578994666	lower_in_early_ESCC
AN004963__118	0.182034097750822	0.000649788608762807	ST003027	AN004963	targeted LC-MS	negative	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.00434546132110127	higher_in_early_ESCC
AN004962__229	0.0101550209911124	0.000862089999619466	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.00564756918118058	higher_in_early_ESCC
AN004962__244	0.0257604148525078	0.000904485972157954	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.00580679994125407	higher_in_early_ESCC
AN004962__114	0.263754362412372	0.000930439538861477	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.0058562959210693	higher_in_early_ESCC
AN004962__37	0.402993196923445	0.00101491002748638	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.00605274989750148	higher_in_early_ESCC
AN004963__122	0.0440166576300564	0.00101440842850553	ST003027	AN004963	targeted LC-MS	negative	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.00605274989750148	higher_in_early_ESCC
AN004963__135	0.312215223724395	0.00101821960892548	ST003027	AN004963	targeted LC-MS	negative	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.00605274989750148	higher_in_early_ESCC
AN004963__221	-0.967214355612322	0.00120077957687217	ST003027	AN004963	targeted LC-MS	negative	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.00700818625774485	lower_in_early_ESCC
AN004962__165	0.382322758043854	0.00128729597951389	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.00737896445399924	higher_in_early_ESCC
AN004962__167	0.285779638462663	0.00157587719713213	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.00887467684700726	higher_in_early_ESCC
AN004962__204	0.699946719039833	0.00164069397950649	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.00895550194043001	higher_in_early_ESCC
AN004963__86	0.401979997744515	0.00164602683640302	ST003027	AN004963	targeted LC-MS	negative	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.00895550194043001	higher_in_early_ESCC
AN004963__191	-0.113370129544707	0.00175182220531036	ST003027	AN004963	targeted LC-MS	negative	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.0093722487984104	lower_in_early_ESCC
AN004962__209	0.007730313673701	0.00178699726883911	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.00940370693930091	higher_in_early_ESCC
AN004962__47	-0.036082117791307	0.00182591364956212	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.00945352066950708	lower_in_early_ESCC
AN004963__54	-0.0673637576509443	0.00235827869309516	ST003027	AN004963	targeted LC-MS	negative	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.0120159914362468	lower_in_early_ESCC
AN004963__107	0.0650438335066661	0.00250266717853697	ST003027	AN004963	targeted LC-MS	negative	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.0125524400673495	higher_in_early_ESCC
AN004962__113	0.380521395600605	0.00276292000672291	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.013437838214516	higher_in_early_ESCC
AN004963__139	0.436987479198615	0.00275706315861423	ST003027	AN004963	targeted LC-MS	negative	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.013437838214516	higher_in_early_ESCC
AN004962__3	0.0219489138606754	0.00292386600985619	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.0137126737053074	higher_in_early_ESCC
AN004962__140	0.360326861989175	0.00286900172496023	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.0137126737053074	higher_in_early_ESCC
AN004962__217	0.0256790771777824	0.00294758406749598	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.0137126737053074	higher_in_early_ESCC
AN004962__218	0.131434121354128	0.00375361196885578	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.0172129920286101	higher_in_early_ESCC
AN004963__217	0.237253599765481	0.00393361764499117	ST003027	AN004963	targeted LC-MS	negative	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.0177843840005939	higher_in_early_ESCC
AN004962__227	-0.477201527259131	0.00411505612297605	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.0183462918816016	lower_in_early_ESCC
AN004963__115	-0.261127058964162	0.00464385088750298	ST003027	AN004963	targeted LC-MS	negative	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.0204202210258693	lower_in_early_ESCC
AN004963__129	-0.442326476000157	0.00475012330599281	ST003027	AN004963	targeted LC-MS	negative	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.020605264611131	lower_in_early_ESCC
AN004962__108	-0.738783359898018	0.00488581888534984	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.0206361560815434	lower_in_early_ESCC
AN004963__114	-0.962580626103052	0.00482996459871181	ST003027	AN004963	targeted LC-MS	negative	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.0206361560815434	lower_in_early_ESCC
AN004962__239	0.00730791270591354	0.00510619032532304	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.0207479379041607	higher_in_early_ESCC
AN004962__246	0.729532599252488	0.00501347169220179	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.0207479379041607	higher_in_early_ESCC
AN004963__3	-0.639179692369074	0.00509465706413691	ST003027	AN004963	targeted LC-MS	negative	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.0207479379041607	lower_in_early_ESCC
AN004962__191	0.0146051875488876	0.00543100806672117	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.0217919198677187	higher_in_early_ESCC
AN004962__128	0.317884854122923	0.00584457963484281	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.0231618526269697	higher_in_early_ESCC
AN004962__214	0.022598089593892	0.00642912169126227	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.0248644344927131	higher_in_early_ESCC
AN004963__218	0.242826616524601	0.00640835109821248	ST003027	AN004963	targeted LC-MS	negative	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.0248644344927131	higher_in_early_ESCC
AN004962__196	-0.34515049882234	0.00651615113194423	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.0249010061113583	lower_in_early_ESCC
AN004963__78	0.0331577575594511	0.00714123349326678	ST003027	AN004963	targeted LC-MS	negative	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.0269686582510428	higher_in_early_ESCC
AN004963__126	0.0518244507473859	0.00788342933249873	ST003027	AN004963	targeted LC-MS	negative	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.0294253583224662	higher_in_early_ESCC
AN004962__33	0.368107729552452	0.00879036880176398	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.0317045885996207	higher_in_early_ESCC
AN004962__189	-0.537879316074297	0.008723579520168	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	0.0317045885996207	lower_in_early_ESCC
