study_id	analysis_id	platform	ion_mode	evidence_family	within_analysis_evidence_unit	feature_id	metabolite_name	normalized_name_key	n_escc_nonmissing	n_normal_nonmissing	positive_count_total	positive_detection_rate_escc	positive_detection_rate_normal	missing_fraction_all	zero_count_all	negative_count_all	censoring_sensitive	all_na	all_zero	zero_variance	primary_test	exclusion_reason	source_unit_conflict	source_upstream_imputation	additional_imputation_by_this_script	absolute_concentration_claim_allowed
ST003025	AN004960	targeted GC-MS	GC-EI positive	ST003025_targeted_GCMS	ST003025_targeted_tissue_32	AN004960__9	Octanoic acid	octanoicacid	16	16	32	1	1	0	0	0	FALSE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_ug_per_g	author-processed matrix includes minimum_x_random_0.1_to_0.5 imputation; seed and imputed cells unavailable	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__1	Urea	urea	16	16	32	1	1	0	0	0	FALSE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__10	Morpholine	morpholine	0	0	0	0	0	1	0	0	FALSE	TRUE	FALSE	FALSE	FALSE	all_na	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__100	Nicotyrine	nicotyrine	16	16	31	1	0.9375	0	1	0	TRUE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__101	2-Aminooctanoic acid	2aminooctanoicacid	16	16	32	1	1	0	0	0	FALSE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__102	Tryptamine	tryptamine	16	16	6	0.3125	0.0625	0	26	0	TRUE	FALSE	FALSE	FALSE	FALSE	fewer_than_8_positive_values_across_32	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__103	D-Alanyl-D-alanine	dalanyldalanine	16	16	32	1	1	0	0	0	FALSE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__104	4,6-Dihydroxyquinoline	46dihydroxyquinoline	0	0	0	0	0	1	0	0	FALSE	TRUE	FALSE	FALSE	FALSE	all_na	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__105	Indole-3-carboxylic acid	indole3carboxylicacid	0	0	0	0	0	1	0	0	FALSE	TRUE	FALSE	FALSE	FALSE	all_na	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__106	2-indolecarboxylic acid	2indolecarboxylicacid	16	16	32	1	1	0	0	0	FALSE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__107	L-Carnitine	lcarnitine	16	16	32	1	1	0	0	0	FALSE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__108	L-2-Aminoadipic?Acid	l2aminoadipicacid	16	16	32	1	1	0	0	0	FALSE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__109	L-Nicotine	lnicotine	16	16	0	0	0	0	32	0	TRUE	FALSE	TRUE	TRUE	FALSE	all_zero	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__11	Sarcosine	sarcosine	16	16	31	0.9375	1	0	1	0	TRUE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__110	5-Hydroxylysine	5hydroxylysine	16	16	32	1	1	0	0	0	FALSE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__111	Hordenine	hordenine	0	0	0	0	0	1	0	0	FALSE	TRUE	FALSE	FALSE	FALSE	all_na	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__112	7-Methylguanine	7methylguanine	16	16	32	1	1	0	0	0	FALSE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__113	L-Phenylalanine	lphenylalanine	16	16	32	1	1	0	0	0	FALSE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__114	Methionine sulfoxide	methioninesulfoxide	16	16	32	1	1	0	0	0	FALSE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__115	7-Methylxanthine	7methylxanthine	16	16	14	0.4375	0.4375	0	18	0	TRUE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__116	1-Methylxanthine	1methylxanthine	16	16	8	0.375	0.125	0	24	0	TRUE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__117	Pyridoxal	pyridoxal	16	16	29	0.9375	0.875	0	2	1	TRUE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__118	Pyridoxamine	pyridoxamine	0	0	0	0	0	1	0	0	FALSE	TRUE	FALSE	FALSE	FALSE	all_na	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__119	Pyridoxine	pyridoxine	16	16	6	0.1875	0.1875	0	26	0	TRUE	FALSE	FALSE	FALSE	FALSE	fewer_than_8_positive_values_across_32	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__12	L-Alanine	lalanine	16	16	32	1	1	0	0	0	FALSE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__120	N-(2-Furoyl)glycine	n2furoylglycine	0	0	0	0	0	1	0	0	FALSE	TRUE	FALSE	FALSE	FALSE	all_na	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__121	3-Methylhistidine	3methylhistidine	16	16	32	1	1	0	0	0	FALSE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__122	Glycylproline	glycylproline	16	16	29	0.875	0.9375	0	3	0	TRUE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__123	Acetylleucine	acetylleucine	16	16	32	1	1	0	0	0	FALSE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__124	Quinoline-2-carboxylic acid	quinoline2carboxylicacid	0	0	0	0	0	1	0	0	FALSE	TRUE	FALSE	FALSE	FALSE	all_na	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__125	N-Acetylornithine	nacetylornithine	16	16	1	0.0625	0	0	31	0	TRUE	FALSE	FALSE	FALSE	FALSE	fewer_than_8_positive_values_across_32	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__126	L-Arginine	larginine	16	16	32	1	1	0	0	0	FALSE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__127	Indole-3-acetic acid	indole3aceticacid	16	16	8	0.25	0.25	0	24	0	TRUE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__128	L-Citrulline	lcitrulline	16	16	32	1	1	0	0	0	FALSE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__129	Guanidinosuccinic acid	guanidinosuccinicacid	16	16	32	1	1	0	0	0	FALSE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__13	beta-Alanine	betaalanine	16	16	32	1	1	0	0	0	FALSE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__130	Cotinine	cotinine	16	16	32	1	1	0	0	0	FALSE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__131	Serotonin	serotonin	16	16	32	1	1	0	0	0	FALSE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__132	D-Mannosamine	dmannosamine	16	16	31	1	0.9375	0	1	0	TRUE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__133	D-Glucosamine	dglucosamine	0	0	0	0	0	1	0	0	FALSE	TRUE	FALSE	FALSE	FALSE	all_na	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__134	D-Galactosamine	dgalactosamine	0	0	0	0	0	1	0	0	FALSE	TRUE	FALSE	FALSE	FALSE	all_na	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__135	Carbocysteine	carbocysteine	16	16	18	0.75	0.375	0	14	0	TRUE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__136	Paraxanthine	paraxanthine	16	16	26	0.8125	0.8125	0	6	0	TRUE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__137	Theobromine	theobromine	16	16	28	0.875	0.875	0	4	0	TRUE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__138	Nicotinuric acid	nicotinuricacid	0	0	0	0	0	1	0	0	FALSE	TRUE	FALSE	FALSE	FALSE	all_na	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__139	Methionine sulfoximine	methioninesulfoximine	0	0	0	0	0	1	0	0	FALSE	TRUE	FALSE	FALSE	FALSE	all_na	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__14	Glyceraldehyde	glyceraldehyde	16	16	0	0	0	0	32	0	TRUE	FALSE	TRUE	TRUE	FALSE	all_zero	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__140	L-Tyrosine	ltyrosine	16	16	32	1	1	0	0	0	FALSE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__141	Sorbitol	sorbitol	16	16	32	1	1	0	0	0	FALSE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__142	Mannitol	mannitol	16	16	1	0.0625	0	0	31	0	TRUE	FALSE	FALSE	FALSE	FALSE	fewer_than_8_positive_values_across_32	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__143	Normetanephrine	normetanephrine	0	0	0	0	0	1	0	0	FALSE	TRUE	FALSE	FALSE	FALSE	all_na	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__144	Epinephrine	epinephrine	16	16	10	0.375	0.25	0	22	0	TRUE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__145	O-Phospho-L-Serine	ophospholserine	16	16	32	1	1	0	0	0	FALSE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__146	Glycyl-L-Leucine	glycyllleucine	16	16	32	1	1	0	0	0	FALSE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__147	N-Acetylglutamine	nacetylglutamine	16	16	32	1	1	0	0	0	FALSE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__148	N6-Acetyl-L-lysine	n6acetylllysine	16	16	32	1	1	0	0	0	FALSE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__149	L-Homoarginine	lhomoarginine	16	16	32	1	1	0	0	0	FALSE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__15	2-Piperidone	2piperidone	16	16	32	1	1	0	0	0	FALSE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__150	N6,N6,N6-Trimethyl-L-lysine	n6n6n6trimethylllysine	16	16	32	1	1	0	0	0	FALSE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__151	3-Indolepropionic acid	3indolepropionicacid	16	16	30	0.875	1	0	1	1	TRUE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__152	3-Indoleglyoxylic acid	3indoleglyoxylicacid	16	16	32	1	1	0	0	0	FALSE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__153	Homocitrulline	homocitrulline	16	16	32	1	1	0	0	0	FALSE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__154	5-Methoxytryptamine	5methoxytryptamine	0	0	0	0	0	1	0	0	FALSE	TRUE	FALSE	FALSE	FALSE	all_na	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__155	5-Hydroxyindole-3-acetic acid	5hydroxyindole3aceticacid	0	0	0	0	0	1	0	0	FALSE	TRUE	FALSE	FALSE	FALSE	all_na	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__156	Scopoletin	scopoletin	16	16	1	0	0.0625	0	31	0	TRUE	FALSE	FALSE	FALSE	FALSE	fewer_than_8_positive_values_across_32	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__157	Caffeine	caffeine	16	16	31	1	0.9375	0	0	1	TRUE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	AN004962__158	O-Benzyl-L-serine	obenzyllserine	0	0	0	0	0	1	0	0	FALSE	TRUE	FALSE	FALSE	FALSE	all_na	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	no
